latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
6.29174,124.9456,315.0,0,GMT,GMT

time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),shortwave_radiation_sum (MJ/m²)
2016-04-26,31.7,24.3,3.50,19.54
2016-04-27,30.9,23.6,25.80,18.56
2016-04-28,29.7,23.4,15.40,18.06
2016-04-29,31.0,23.6,10.00,20.61
2016-04-30,30.8,24.0,3.90,21.20
2016-05-01,30.6,23.9,7.60,15.81
2016-05-02,30.4,24.1,0.10,19.25
2016-05-03,30.0,23.6,1.00,16.65
2016-05-04,30.8,23.4,0.50,23.27
2016-05-05,31.1,23.0,0.30,22.46
2016-05-06,32.2,23.7,0.00,24.93
2016-05-07,33.1,24.2,0.40,24.78
2016-05-08,31.2,23.9,2.40,18.85
2016-05-09,33.1,24.3,2.30,22.40
2016-05-10,29.8,23.9,18.60,12.29
2016-05-11,29.8,24.3,8.20,16.72
2016-05-12,30.2,23.5,5.90,14.66
2016-05-13,31.7,24.1,0.00,21.85
2016-05-14,30.9,24.5,2.10,18.03
2016-05-15,30.2,23.7,10.10,13.64
2016-05-16,29.4,23.8,14.00,13.05
2016-05-17,29.4,23.5,8.20,13.20
2016-05-18,29.6,23.7,17.40,16.98
2016-05-19,29.8,23.8,7.10,16.87
2016-05-20,28.7,23.1,6.90,12.91
2016-05-21,30.3,23.4,16.40,17.70
2016-05-22,30.7,23.5,2.60,21.10
2016-05-23,30.0,24.1,9.70,16.19
2016-05-24,31.0,23.8,13.40,20.58
2016-05-25,29.4,23.0,20.10,13.06
2016-05-26,30.5,24.3,6.10,18.02
2016-05-27,30.5,23.2,24.50,17.55
2016-05-28,28.8,23.2,10.80,14.10
2016-05-29,30.3,23.3,7.60,18.30
2016-05-30,29.0,23.0,18.20,15.00
2016-05-31,30.3,22.7,4.00,21.25
2016-06-01,29.6,23.4,12.60,16.43
2016-06-02,27.3,22.7,23.90,8.78
2016-06-03,30.7,23.4,6.10,22.13
2016-06-04,29.8,22.8,5.00,19.12
